inventory,substance,cas,use,matched_nutrient_id,pack,score,alt_matches
indirect_additives,POLY(ACRYLAMIDE-CO-DIALLYLDIETHYLAMMONIUM CHLORIDE-CO-DIALLYLDIMETHYLAMMONIUM CHLORIDE),9022-17-7,,chloride,A,80,
indirect_additives,POLY(ACRYLAMIDE-CO-DIALLYLDIETHYLAMMONIUM CHLORIDE-CO-DIALLYLDIMETHYLAMMONIUM CHLORIDE-CO-POTASSIUM ACRYLATE),54811-80-2,,chloride,A,80,potassium(80)
indirect_additives,POLY(ACRYLAMIDE-CO-DIALLYLDIMETHYLAMMONIUM CHLORIDE-CO-GLYOXAL),32555-39-8,,chloride,A,80,
indirect_additives,POLY(ACRYLAMIDE-CO-DIALLYLDIMETHYLAMMONIUM CHLORIDE-CO-POTASSIUM ACRYLATE),74347-33-4,,chloride,A,80,potassium(80)
indirect_additives,POLY(ACRYLAMIDE-CO-ETHYL ACRYLATE-CO-METHYLOLACRYLAMIDE-CO-VINYLIDENE CHLORIDE),35828-78-5,,chloride,A,80,
indirect_additives,POLY(ACRYLAMIDE-CO-ETHYLENE-CO-VINYL CHLORIDE),26376-17-0,,chloride,A,80,
indirect_additives,"POLY(ACRYLAMIDE-CO-ETHYLENE-CO-VINYL CHLORIDE), HYDROLYZED",977101-21-5,,chloride,A,80,
indirect_additives,POLY(ACRYLAMIDE-CO-METHYL ACRYLATE-CO-VINYLIDENE CHLORIDE-CO-VINYLSULFONIC ACID),977030-99-1,,chloride,A,80,
indirect_additives,POLY(ACRYLAMIDE-CO-VINYLIDENE CHLORIDE),52500-86-4,,chloride,A,80,
indirect_additives,POLY(ACRYLAMIDOMETHYLPROPANESULFONIC ACID-CO-ACRYLIC ACID-CO-SODIUM HYPOPHOSPHITE) TELOMER,99316-13-9,,sodium,A,80,
indirect_additives,POLY(ACRYLIC ACID-CO-ACRYLONITRILE-CO-BUTYL ACRYLATE-CO-VINYLIDENE CHLORIDE),96499-54-6,,chloride,A,80,
indirect_additives,POLY(ACRYLIC ACID-CO-ACRYLONITRILE-CO-METHYL ACRYLATE-CO-VINYLIDENE CHLORIDE),34755-29-8,,chloride,A,80,
indirect_additives,POLY(ACRYLIC ACID-CO-ACRYLONITRILE-CO-VINYLIDENE CHLORIDE),25249-59-6,,chloride,A,80,
indirect_additives,POLY(ACRYLIC ACID-CO-ETHYLENE-CO-VINYL CHLORIDE),26713-16-6,,chloride,A,80,
indirect_additives,"POLY(ACRYLIC ACID-CO-ETHYLENE), SODIUM SALT",25750-82-7,,sodium,A,80,
indirect_additives,POLY(ACRYLIC ACID-CO-2-ETHYLHEXYL-ACRYLATE-CO-METHYL METHACRYLATE-CO-VINYL CHLORIDE-CO-VINYLIDENE CHLORIDE),125249-22-1,,chloride,A,80,
indirect_additives,POLY(ACRYLIC ACID-CO-2-ETHYLHEXYL ACRYLATE-CO-VINYL CHLORIDE-CO-VINYLIDENE CHLORIDE),65045-76-3,,chloride,A,80,
indirect_additives,POLY(ACRYLIC ACID-CO-GLYCIDYL METHACRYLATE-CO-METHYL ACRYLATE-CO-VINYLIDENE CHLORIDE),121718-15-8,,chloride,A,80,
indirect_additives,POLY(ACRYLIC ACID-CO-METHYL ACRYLATE-CO-VINYLIDENE CHLORIDE),26124-53-8,,chloride,A,80,
indirect_additives,POLY(ACRYLIC ACID-CO-VINYL CHLORIDE),25702-80-1,,chloride,A,80,
indirect_additives,POLY(ACRYLIC ACID-CO-VINYL CHLORIDE-CO-VINYLIDENE CHLORIDE),29059-60-7,,chloride,A,80,
indirect_additives,"POLYACRYLIC ACID, SODIUM SALT",9003-04-7,,sodium,A,80,
indirect_additives,POLY(ACRYLONITRILE-CO-BUTADIENE-CO-DIVINYLBENZENE-CO-VINYL CHLORIDE),977078-98-0,,chloride,A,80,
indirect_additives,POLY(ACRYLONITRILE-CO-BUTADIENE-CO-POLYVINYL CHLORIDE),977115-83-5,,chloride,A,80,
indirect_additives,POLY(ACRYLONITRILE-CO-BUTADIENE-CO-STYRENE-CO-VINYL CHLORIDE),25134-49-0,,chloride,A,80,
indirect_additives,POLY(ACRYLONITRILE-CO-BUTADIENE-CO-VINYL ACETATE-CO-VINYL CHLORIDE),77238-98-3,,chloride,A,80,
indirect_additives,POLY(ACRYLONITRILE-CO-BUTADIENE-CO-VINYL CHLORIDE),26337-23-5,,chloride,A,80,
indirect_additives,POLY(ACRYLONITRILE-CO-BUTYL ACRYLATE-CO-VINYLIDENE CHLORIDE),26300-99-2,,chloride,A,80,
indirect_additives,POLY(ACRYLONITRILE-CO-ETHYL ACRYLATE-CO-VINYLIDENE CHLORIDE),977142-37-2,,chloride,A,80,
indirect_additives,POLY(ACRYLONITRILE-CO-ITACONIC ACID-CO-VINYLIDENE CHLORIDE),25053-68-3,,chloride,A,80,
indirect_additives,POLY(ACRYLONITRILE-CO-METHYL ACRYLATE-CO-VINYLIDENE CHLORIDE),24968-80-7,,chloride,A,80,
indirect_additives,POLY(ACRYLONITRILE-CO-METHYL METHACRYLATE-CO-SODIUM 2-SULFOETHYL METHACRYLATE-CO-VINYLIDENE CHLORIDE),53904-72-6,,chloride,A,80,sodium(80)
indirect_additives,POLY(ACRYLONITRILE-CO-SODIUM 2-SULFOETHYL METHACRYLATE-CO-VINYLIDENE CHLORIDE),53904-73-7,,chloride,A,80,sodium(80)
indirect_additives,POLY(ACRYLONITRILE-CO-VINYL CHLORIDE),9003-00-3,,chloride,A,80,
indirect_additives,POLY(ACRYLONITRILE-CO-VINYLIDENE CHLORIDE),9010-76-8,,chloride,A,80,
