_inventory,_substance,_other_names,_use,_cas,CAS Registry No. (or other ID),Substance,Reg col01,Reg col02,Reg col03,Reg col04,Reg col05,Reg col06,Reg01,Reg02,reg03,reg04,reg05,reg06,reg07,reg08,reg09,reg10,reg11,reg12,reg13,reg14,reg15,reg16,reg17,reg18,reg19,reg20,reg21,Reg prohibited189,regs Labeling-Standards,Other Names,SYN01,SYN02,SYN03,SYN04,SYN05,SYN06,SYN07,SYN08,SYN09,SYN10,SYN11,SYN12,SYN13,SYN14,SYN15,SYN16,SYN17,SYN18,SYN19
indirect_additives,CORN OIL FATTY ACIDS,CORN OIL FATTY ACIDS,,68308-50-9,68308-50-9,CORN OIL FATTY ACIDS,,,,,,,175.300,176.210,,,,,,,,,,,,,,,,,,,,,,CORN OIL FATTY ACIDS,CORN OIL ACID,"FATTY ACIDS, CORN-OIL",,,,,,,,,,,,,,,,,
indirect_additives,"CORN OIL FATTY ACIDS, METHYL ESTERS","CORN OIL FATTY ACIDS, METHYL ESTERS",,977158-20-5,977158-20-5,"CORN OIL FATTY ACIDS, METHYL ESTERS",,,,,,,176.210,,,,,,,,,,,,,,,,,,,,,,,"CORN OIL FATTY ACIDS, METHYL ESTERS","CORN OIL, METHYL ESTERS",,,,,,,,,,,,,,,,,,
indirect_additives,"CORN OIL, HYDROGENATED",HYDROGENATED CORN OIL,,68525-87-1,68525-87-1,"CORN OIL, HYDROGENATED",,,,,,,176.210,,,,,,,,,,,,,,,,,,,,,,,HYDROGENATED CORN OIL,"CORN OIL, HYDROGENATED","OIL, HYDROGENATED CORN",,,,,,,,,,,,,,,,,
indirect_additives,CORN OIL MONO- AND DIGLYCERIDES,CORN OIL MONO- AND DIGLYCERIDES,,977090-16-6,977090-16-6,CORN OIL MONO- AND DIGLYCERIDES,,,,,,,176.210,,,,,,,,,,,,,,,,,,,,,,,CORN OIL MONO- AND DIGLYCERIDES,,,,,,,,,,,,,,,,,,,
indirect_additives,CORN OIL MONOGLYCERIDES,CORN OIL MONOGLYCERIDES,,977076-64-4,977076-64-4,CORN OIL MONOGLYCERIDES,,,,,,,176.210,,,,,,,,,,,,,,,,,,,,,,,CORN OIL MONOGLYCERIDES,"CORN OIL ACID, GLYCERYL MONOESTER","CORN OIL FATTY ACIDS, MONOGLYCERIDES",GLYCERYL CORN ACID MONOESTER,"MONOGLYCERIDES, CORN OIL FATTY ACIDS",,,,,,,,,,,,,,,
indirect_additives,"CORN OIL, SULFATED","CORN OIL, SULFATED",,977075-93-6,977075-93-6,"CORN OIL, SULFATED",,,,,,,176.210,,,,,,,,,,,,,,,,,,,,,,,"CORN OIL, SULFATED",,,,,,,,,,,,,,,,,,,
indirect_additives,CORN OIL TRIGLYCERIDES,CORN OIL TRIGLYCERIDES,,977076-66-6,977076-66-6,CORN OIL TRIGLYCERIDES,,,,,,,175.300,176.210,,,,,,,,,,,,,,,,,,,,,,CORN OIL TRIGLYCERIDES,"CORN OIL ACID, GLYCERYL TRIESTER","CORN OIL FATTY ACIDS, GLYCERYL TRIESTERS",GLYCERYL CORN ACID TRIESTER,"TRIGLYCERIDES, CORN OIL FATTY ACIDS",,,,,,,,,,,,,,,
indirect_additives,COTTON,COTTON,,977020-16-8,977020-16-8,COTTON,,,,,,,177.2260,177.2600,177.2800,,,,,,,,,,,,,,,,,,,,,COTTON,cotton duck,gossypium,coton (gossypium spp.),,,,,,,,,,,,,,,,
indirect_additives,COTTONSEED OIL,COTTONSEED OIL,,8001-29-4,8001-29-4,COTTONSEED OIL,,,,,,,175.300,176.210,177.2800,,,,,,,,,,,,,,,,,,,,,COTTONSEED OIL,cotton oil,"oils, glyceridic, cottonseed","oil, cottonseed",,,,,,,,,,,,,,,,
indirect_additives,COTTONSEED OIL DIGLYCERIDES,COTTONSEED OIL DIGLYCERIDE,,977048-78-4,977048-78-4,COTTONSEED OIL DIGLYCERIDES,,,,,,,176.210,,,,,,,,,,,,,,,,,,,,,,,COTTONSEED OIL DIGLYCERIDE,,,,,,,,,,,,,,,,,,,
indirect_additives,COTTONSEED OIL FATTY ACIDS,COTTONSEED OIL FATTY ACIDS,,68308-51-0,68308-51-0,COTTONSEED OIL FATTY ACIDS,,,,,,,175.300,176.210,177.2800,,,,,,,,,,,,,,,,,,,,,COTTONSEED OIL FATTY ACIDS,"FATTY ACIDS, COTTONSEED-OIL",,,,,,,,,,,,,,,,,,
indirect_additives,"COTTONSEED OIL FATTY ACIDS, METHYL ESTERS","COTTONSEED OIL FATTY ACIDS, METHYL ESTERS",,61788-60-1,61788-60-1,"COTTONSEED OIL FATTY ACIDS, METHYL ESTERS",,,,,,,176.210,177.2800,,,,,,,,,,,,,,,,,,,,,,"COTTONSEED OIL FATTY ACIDS, METHYL ESTERS","FATTY ACIDS, COTTONSEED-OIL, ME ESTERS","COTTONSEED OIL, METHYL ESTER",,,,,,,,,,,,,,,,,
indirect_additives,"COTTONSEED OIL FATTY ACIDS, PEG ESTERS","COTTONSEED OIL FATTY ACIDS, PEG ESTERS",,977088-19-9,977088-19-9,"COTTONSEED OIL FATTY ACIDS, PEG ESTERS",,,,,,,175.300,177.2800,,,,,,,,,,,,,,,,,,,,,,"COTTONSEED OIL FATTY ACIDS, PEG ESTERS",POLYOXYETHYLENE ESTER OF COTTONSEED OIL FATTY ACIDS,"PEG ESTERS, COTTONSEED OIL FATTY ACIDS",,,,,,,,,,,,,,,,,
indirect_additives,"COTTONSEED OIL FATTY ACIDS, PROPYLENE GLYCOL DIESTERS","COTTONSEED OIL FATTY ACIDS, PROPYLENE GLYCOL DIESTERS",,977089-73-8,977089-73-8,"COTTONSEED OIL FATTY ACIDS, PROPYLENE GLYCOL DIESTERS",,,,,,,175.300,176.210,177.2800,,,,,,,,,,,,,,,,,,,,,"COTTONSEED OIL FATTY ACIDS, PROPYLENE GLYCOL DIESTERS",,,,,,,,,,,,,,,,,,,
indirect_additives,"COTTONSEED OIL FATTY ACIDS, SODIUM SOAP","COTTONSEED OIL FATTY ACIDS, SODIUM SALT",,66071-95-2,66071-95-2,"COTTONSEED OIL FATTY ACIDS, SODIUM SOAP",,,,,,,176.210,177.2800,,,,,,,,,,,,,,,,,,,,,,"COTTONSEED OIL FATTY ACIDS, SODIUM SALT","COTTONSEED ACID, SODIUM SALT","COTTONSEED OIL FATTY ACIDS, SODIUM SOAP",,,,,,,,,,,,,,,,,
indirect_additives,"COTTONSEED OIL FATTY ACIDS, SULFATED, SODIUM SALT","COTTONSEED OIL FATTY ACIDS, SULFATED, SODIUM SALT",,61789-27-3,61789-27-3,"COTTONSEED OIL FATTY ACIDS, SULFATED, SODIUM SALT",,,,,,,176.210,177.2800,,,,,,,,,,,,,,,,,,,,,,"COTTONSEED OIL FATTY ACIDS, SULFATED, SODIUM SALT",,,,,,,,,,,,,,,,,,,
indirect_additives,"COTTONSEED OIL, HYDROGENATED","COTTONSEED OIL, HYDROGENATED",,68334-00-9,68334-00-9,"COTTONSEED OIL, HYDROGENATED",,,,,,,176.210,177.2800,,,,,,,,,,,,,,,,,,,,,,"COTTONSEED OIL, HYDROGENATED","cottonseed oil, hardened","oil, hydrogenated cottonseed",,,,,,,,,,,,,,,,,
indirect_additives,COTTONSEED OIL MONO- AND DIGLYCERIDES,COTTONSEED OIL MONO- AND DIGLYCERIDES,,977019-81-0,977019-81-0,COTTONSEED OIL MONO- AND DIGLYCERIDES,,,,,,,176.210,,,,,,,,,,,,,,,,,,,,,,,COTTONSEED OIL MONO- AND DIGLYCERIDES,,,,,,,,,,,,,,,,,,,
indirect_additives,COTTONSEED OIL MONOGLYCERIDES,COTTONSEED GLYCERIDE,,8029-44-5,8029-44-5,COTTONSEED OIL MONOGLYCERIDES,,,,,,,176.210,,,,,,,,,,,,,,,,,,,,,,,COTTONSEED GLYCERIDE,COTTONSEED OIL MONOGLYCERIDE,"GLYCERIDES, COTTONSEED-OIL MONO-",,,,,,,,,,,,,,,,,
indirect_additives,"COTTONSEED OIL MONOGLYCERIDES, HYDROGENATED",HYDROGENATED COTTONSEED GLYCERIDE,,61789-07-9,61789-07-9,"COTTONSEED OIL MONOGLYCERIDES, HYDROGENATED",,,,,,,176.210,,,,,,,,,,,,,,,,,,,,,,,HYDROGENATED COTTONSEED GLYCERIDE,"COTTONSEED OIL MONOGLYCERIDE, HYDROGENATED",HYDROGENATED COTTONSEEED OIL MONOGLYCERIDE,HYDROGENATED COTTONSEED MONOGLYCERIDE,,,,,,,,,,,,,,,,
indirect_additives,"COTTONSEED OIL, OXIDIZED","COTTONSEED OIL, OXIDIZED",,977152-60-5,977152-60-5,"COTTONSEED OIL, OXIDIZED",,,,,,,176.210,177.2800,,,,,,,,,,,,,,,,,,,,,,"COTTONSEED OIL, OXIDIZED",OXIDIZED COTTONSEED OIL,,,,,,,,,,,,,,,,,,
indirect_additives,"COTTONSEED OIL, SULFATED","COTTONSEED OIL, SULFATED",,977036-50-2,977036-50-2,"COTTONSEED OIL, SULFATED",,,,,,,176.210,177.2800,,,,,,,,,,,,,,,,,,,,,,"COTTONSEED OIL, SULFATED",,,,,,,,,,,,,,,,,,,
indirect_additives,COUMARONE-INDENE RESINS,COUMARONE-INDENE RESIN (CLASS),,63393-89-5,63393-89-5,COUMARONE-INDENE RESINS,,,,,,,172.215,175.105,175.300,177.2600,,,,,,,,,,,,,,,,,,,,COUMARONE-INDENE RESIN (CLASS),COUMARONE-INDENE RESINS,COUMARIN-INDENE RESIN,,,,,,,,,,,,,,,,,
indirect_additives,"CRESOL, ALKYLATED","CRESOL, ALKYLATED",,977096-07-3,977096-07-3,"CRESOL, ALKYLATED",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"CRESOL, ALKYLATED",,,,,,,,,,,,,,,,,,,
