Downloaded from FDA GRAS Notices; http://www.hfpappexternal.fda.gov/scripts/fdcc/?set=GRASNotices; Last updated 7/31/2026; downloaded 8/2/2026.

GRAS Notice (GRN) No.,Substance,Intended Use,Basis,Notifier,Notifier Address,Date of filing,GRN Part 1,GRN Part 2,GRN Part 3,GRN Part 4,GRN Part 5,GRN Part 6,GRN Part 7,Date of closure,Date of correction letter,FDA's Letter,Date additional correspondence,Additional correspondence,Date additinoal correspondence 2,Additional correspondence 2,Date additional correspondence 3,Additional correspondence 3,Date additional correspondence 4,Additional correspondence 4,Resubmission,Resubmitted,Notes,Related submission
=T("230")," Chymosin enzyme preparation from <i>Trichoderma reesei</i> expressing the bovine prochymosin B gene"," As an enzyme for milk coagulation during cheese making"," Scientific procedures"," Genencor, a Danisco Division"," 200 Meridian Centre Boulevard, Rochester, NY 14618-3916",07/27/2007," GRN 230 (in PDF)",,,,,,,02/19/2008,04/30/2008," FDA has no questions",,,,,,,,,,,,
=T("231")," <i>Lactobacillus casei</i> subsp. <i>rhamnosus</i> strain GG"," Ingredient in term infant formula, at levels not to exceed 10<sup><small>8</small></sup> colony forming units per gram of powdered formula"," Scientific procedures"," Mead Johnson & Company"," 2400 W. Lloyd Expressway, Evansville, Indiana 47721-0001",08/09/2007," GRN 231 (in PDF)",,,,,,,05/29/2008,," FDA has no questions",,,,,,,,,,,,
=T("232")," Conjugated linoleic acid isomers"," Intended for use as an ingredient in certain specified foods within the general categories of soy milk, meal replacement beverages and bars, milk products and fruit juices at levels up to 3 grams per serving."," Scientific procedures"," Lipid Nutrition B.V.&nbsp;and&nbsp;Cognis GmbH"," P.O.Box 4, 1520 AA, Wormerveer, The NETHERLANDS and Rheinpromenade 1, 40789 Monheim, GERMANY",08/13/2007," GRN 232 (in PDF)",,,,,,,07/11/2008,," FDA has no questions",09/08/2009," Additional correspondence about intended use",,,,,,,=T("153"),,,
=T("233")," Combination of galacto-oligosaccharides and polydextrose"," Ingredient in milk-based term infant formula at levels not to exceed 2 grams per liter (g/L) for galacto-oligosaccharides and 2 g/L for polydextrose"," Scientific procedures"," Mead Johnson & Company"," 2400 W. Lloyd Expressway, Evansville, Indiana 47721-0001",09/05/2007," GRN 233 (in PDF)",,,,,,,09/04/2009,," FDA has no questions",,,,,,,,,,,,
=T("234")," Bovine globulin"," Ingredient in dairy foods, juices, snack foods, beverages and meal replacements at maximum levels of 5 per cent of the finished product"," Scientific procedures"," Proliant Health Ingredients Inc."," 2425 Oak Tree Court, Ankeny, Iowa 50021",09/17/2007," GRN 234 (in PDF)",,,,,,,02/14/2008,," At the notifier's request, FDA ceased to evaluate this notice",,,,,,,,,=T("169"),=T("255"),,
=T("235")," Human lactoferrin purified from rice"," Ingredient in oral rehydration solutions that are medical foods intended for short-term consumption by children less than five years of age at levels up to one gram per liter of solution"," Scientific procedures"," Ventria BioScience"," 2120 Milestone Drive, Suite 102 <br />Fort Collins, CO 80525",10/19/2007," GRN 235 (in PDF)",,,,,,,03/12/2010,," At the notifier's request, FDA ceased to evaluate this notice",,,,,,,,,,,,
=T("237")," Alkyl polyglycosides"," Use in the cleaning of foods, including fruits, vegetables, meat, and poultry products"," Scientific procedures"," Cognis Corporation"," 5051 Estecreek Drive, Cincinnati, OH 45232",12/19/2007," GRN 237 (in PDF)",,,,,,,10/14/2008,," FDA has no questions",,,,,,,,,,,,
=T("238")," Lipase enzyme preparation derived from <i>Hansenula polymorpha</i> expressing a gene encoding a lipase from <i>Fusarium heterosporum</i>"," As an enzyme to modify lipids in dough for bakery and noodle applications, in egg yolks for bakery applications and mayonnaise production, and in the refining process of soy bean oil"," Scientific procedures"," Genencor, a Danisco Division"," 925 Page Mill Road, Palo Alto, CA 94304",12/27/2007," GRN 238 (in PDF)",,,,,,,07/28/2008,," FDA has no questions",,,,,,,,,,,,
=T("240")," Corn, cane, or beet sugar cultured with <i>Lactobacillus paracasei</i> subsp. <i>paracasei</i>, <i>Bacillus coagulans</i> LA-1, or <i>Propionibacterium freudenreichii</i> subsp. <i>shermanii</i>, or mixtures of these microorganisms"," Use as an antimicrobial agent in meat and poultry products at a level of 4.8 percent"," Scientific procedures"," PURAC"," Arkelsedijk 46, P.O.Box 21, 4200 AA Gorinchem, The NETHERLANDS",01/28/2008," GRN 240 (in PDF)",,,,,,,10/24/2008,," FDA has no questions",,,,,,,,,,,,
=T("241")," High-selenium yeast"," Ingredient in baked products, non-alcoholic beverages, breakfast cereals, grain products and pastas, milk products, processed fruits/fruit juices, processed vegetables/ vegetables juices, commercial soups and soup mixes and medical foods as a source of selenium at levels yielding 5 micrograms selenium per serving"," Scientific procedures"," Cypress Systems, Inc."," 3381 North Bond Avenue, Suite 101, Fresno, CA 93726",01/30/2008," GRN 241 (in PDF)",,,,,,,04/09/2008,," At the notifier's request, FDA ceased to evaluate this notice",,,,,,,,,,=T("260"),,
=T("242")," Krill oil"," Use as a direct food ingredient in breakfast cereals, cheese, beverages (nonalcoholic), fruit juices, frozen dairy desserts, milk products, and medical foods at levels up to 500 milligrams per serving"," Scientific procedures"," Neptune Technologies and Bioressources"," 2740 Pierre Peladeau Avenue, Suite H200, Laval (Quebec), H7T 3B3, CANADA",02/04/2008," GRN 242 (in PDF)",,,,,,,10/14/2008,," FDA has no questions; some uses may require a color additive listing",,,,,,,,,,,,
=T("243")," D-Ribose"," Ingredient in several food categories provided that D-ribose is used in conjunction with an additional carbohydrate energy source"," Scientific procedures"," Bioenergy, Inc."," 13840 Johnson St. NE Ham Lake, Minnesota 55304",02/08/2008," GRN 243 (in PDF)",,,,,,,11/10/2008,," FDA has no questions",,,,,,,,,=T("100"),,,
=T("244")," Glutathione"," Ingredient in several food categories, including meat products, at levels ranging from 5 to 300 milligrams per serving; and in milk- and soy-based infant formula at levels up to 0.167 grams per 100 milliliters"," Scientific procedures"," Kohjin Co., Ltd."," 1-21, Nihombashi Muromachi 4 Chome, Chou-ku, Tokyo, 103-0022, JAPAN",02/14/2008," GRN 244 (in PDF)",,,,,,,05/09/2008,," At the notifier's request, FDA ceased to evaluate this notice",,,,,,,,,,=T("293"),,
=T("245")," Menaquinone-7"," As a nutrient supplement in dairy products, margarine substitutes, and dairy products including yoghurt, cottage cheese, hard cheeses, milk drinks and substitute products at levels up to 50 micrograms per day"," Scientific procedures"," NattoPharma ASA"," Lysaker Torg 5, PO Box 397 Lysaker, NO-1326 Lysaker, NORWAY",04/02/2008," GRN 245 (in PDF)",,,,,,,06/02/2008,," At the notifier's request, FDA ceased to evaluate this notice",,,,,,,,,,,,
=T("246")," Isomalto-oligosaccharide mixture"," Use in a variety of foods, including meat products, at maximum levels ranging from 1.5 to 15 grams per serving"," Scientific procedures"," BioNeutra Inc."," 9419-20th Avenue, Edmonton, Alberta T6N 1E5, CANADA",04/04/2008," GRN 246 (in PDF)",,,,,,,02/10/2009,," FDA has no questions",06/01/2016," Additional correspondence",,,,,,,=T("172"),,,
=T("247")," Modified gum acacia"," Use as an emulsifier in icings, salad dressings, sauces, pure fruit juices (100 percent), select fruit flavored drinks, select beverages, select breads (whole grain and high fiber breads), and select cereals (low fat, low sugar and high fiber health foods) at levels from 350 to 10,000 milligrams per kilogram"," Scientific procedures"," TIC Gums, Inc."," 4609 Richlynn Drive, Belcamp, MD 21017",04/09/2008," GRN 247 (in PDF)",,,,,,,10/07/2008,," FDA has no questions",,,,,,,,,,,,
=T("248")," Sucrose fatty acid esters (i.e., sucrose monoesters of lauric acid, palmitic acid, and stearic acid) manufactured by reaction of sucrose with vinyl esters of lauric, palmitic, and stearic acids"," Use as emulsifiers in fruit-flavored beverages and beverage concentrates, at levels up to 50 milligrams per Liter as consumed"," Scientific procedures"," Compass Foods Pte Ltd"," 12 Tuas Avenue 1, 639497, SINGAPORE",04/10/2008," GRN 248 (in PDF)",,,,,,,10/24/2008,," FDA has no questions",,,,,,,,,,,,
=T("249")," Synthetic dihydrocapsiate"," Ingredient to provide 1 milligram of capsiate per standard serving in the following food categories: meal replacement and yogurt beverages (low calorie); tea (sugar free); fruit juice; vegetable juice; fruit-ades, drinks and powders (low calorie); beverage concentrates (low calorie); beverage soft drinks (sugar free); non-carbonated water (low calorie); 'energy' drinks; yogurt (plain, vanilla, fruit, chocolate (non- and low fat)); oatmeal (instant, low sugar); chewing gum (sugarless); mints (dietetic, low calorie); breakfast and meal replacement bars; gelatin/puddings (low calorie); salad dressings (low calorie), sweeteners (low calorie); snack foods (popped popcorn, low fat popcorn, fat free popcorn, popped and puffed rice); frozen desserts - light (ice pops and fruit bars); frozen desserts - light (dairy); ready to eat meals - frozen diet (excludes meat and poultry); ready to eat meals - soup; nutritional meal - (e.g., Ensure)"," Scientific procedures"," SRA International Inc."," 5235 Ragged Point Road, Cambridge, MD 21613-3518",04/22/2008," GRN 249 (in PDF)",,,,,,,03/09/2009,," FDA has no questions",,,,,,,,,,,,
=T("250")," Plant sterols and stanols from pine trees"," Ingredient in multiple food categories including margarine and vegetable based spreads, yogurt and yogurt-like products, milk-based juice beverages, ice cream and non-standardized ice cream products, cream cheese and cream cheese-like products, snack bars, salad dressings, standardized and non-standardized bread products, baked foods, beverages, dairy analogs, cheeses and cream, breakfast cereals, mayonnaise, pasta and noodles, sauces, salty snacks, processed soups, puddings, confections, vegetarian meat analogs, fruit/vegetable juices, vegetable oils, egg products, including egg whites and substitute egg products"," Scientific procedures"," Arboris LLC"," 1201 W. Lathrop Avenue, Gate 16, Savannah GA, 31415",05/05/2008," GRN 250 (in PDF)",,,,,,,02/09/2009,," FDA has no questions",,,,,,,,,,,,
=T("251")," Carbon monoxide"," At a concentration of 0.4% as a component of a modified atmosphere packaging system for fresh ground and muscle red meat"," Scientific procedures"," Vincent Mercogliano"," 8310 Shorecrest Drive, Fort Meyers, FL 33912",05/08/2008," GRN 251 (in PDF)",,,,,,,01/25/2012,," FDA has no questions",,,,,,,,,,,,
=T("252")," Rebaudioside A purified from <i>Stevia rebaudiana</i> (Bertoni) Bertoni"," As a sweetener in a variety of food categories, and as a table top sweetener, formulated to provide 30 milligrams of rebaudioside A per gram of finished product"," Scientific procedures"," Whole Earth Sweetener Company LLC (a wholly owned subsidiary of Merisant Company)"," 33 N. Dearborn, Suite 200, Chicago, IL 60602",05/13/2008," GRN 252 (in PDF)",,,,,,,12/17/2008,," FDA has no questions",,,,,,,,,,,,
=T("253")," Rebaudioside A purified from <i>Stevia rebaudiana</i> (Bertoni) Bertoni"," As a general-purpose sweetener in foods, excluding meat and poultry products, provided that food standards of identity do not preclude such use, at levels determined by current good manufacturing practices"," Scientific procedures"," Cargill, Inc."," 15407 McGinty Road W, Wayazata, MN 55345",05/20/2008," GRN 253 (in PDF)",,,,,,,12/17/2008,," FDA has no questions",,,,,,,,,,,,
=T("254")," <i>Lactobacillus reuteri</i> strain DSM 17938"," Ingredient in processed cheeses, yogurt, ice cream, fruit juices, fruit drinks, processed vegetables, processed vegetable drinks, beverage bases, energy bars, energy drinks, and chewing gum at a level up to 10<sup><small>9</small></sup> colony forming units (cfu) per serving, and in a drinking straw at a level of 10<sup><small>9</small></sup> cfu per straw"," Scientific procedures"," BioGaia AB"," P.O. Box 3242, Kungsbroplan 3B; SE-103 64 Stockholm, SWEDEN",05/29/2008," GRN 254 (in PDF)",,,,,,,11/18/2008,," FDA has no questions",,,,,,,,,,,,
=T("255")," Bovine globulin"," Ingredient in dairy foods, fruit juices, vegetable juices, snack foods, beverages, and meal replacement products at a maximum use level not exceeding 50 grams per kilogram (5 percent) in the finished food"," Scientific procedures"," Proliant Health Ingredients, Inc."," 2425 Oak Tree Court, Ankeny, Iowa 50021",06/09/2008," GRN 255 (in PDF)",,,,,,,12/24/2008,," FDA has no questions",,,,,,,,,=T("234"),,,
=T("256")," High linolenic acid flaxseed oil"," Ingredient in a variety of categories"," Scientific procedures"," Polar Foods, Inc."," P.O. Box 293 Fisher Branch, Manitoba R0C 0Z0, CANADA",06/10/2008," GRN 256 (in PDF)",,,,,,,01/16/2009,," FDA has no questions",,,,,,,,,,,,
=T("257")," <i>gamma</i>-Amino butyric acid"," Ingredient in beverages and beverage bases, chewing gum, ready-to-drink coffee and tea products, and candy at levels ranging from 0.04% to 4%"," Scientific procedures"," Pharma Foods International Co., Ltd."," 1-49 Goryo-Ohara, Nishikyo-Ku, Kyoto, 615-8245, JAPAN",08/11/2008," GRN 257 (in PDF)",,,,,,,12/22/2008,," At the notifier's request, FDA ceased to evaluate this notice",,,,,,,,,,,,
=T("258")," Sucromalt"," As a nutritive sweetener in baked goods, non-alcoholic beverages, alcoholic beverages, breakfast cereals, chewing gum, condiments and relishes, confectionery and frostings, frozen dairy, fruit ices, gelatins and puddings, hard candy, dairy products and non-dairy analogs, jams and jellies, milk, milk products, processed fruits and fruit juices, snack foods, soft candy, sweet sauce, and salad dressings at use levels of 1.5% to 85%"," Scientific procedures"," Cargill, Inc."," 15407 McGinty Road W, Wayazata, MN 55345",09/08/2008," GRN 258 (in PDF)",,,,,,,02/03/2009,," FDA has no questions",,,,,,,,,,,,
=T("259")," Catechins from green tea extract"," Ingredient in bottled teas, sport drinks, carbonated soft drinks and juices at levels up to 540 milligrams per serving"," Scientific procedures"," Kao Corporation"," 2-1-3 Bunka Sumida-ku, Tokyo, 131-8501, JAPAN",09/08/2008," GRN 259 part 1 (in PDF)"," GRN 259 part 2 with amendments (in PDF)",,,,,,08/21/2009,," At the notifier's request, FDA ceased to evaluate this notice",,,,,,,,,=T("225"),,,
=T("260")," High-selenium yeast"," Ingredient in baked products, non-alcoholic beverages, breakfast cereals, grain products and pastas, milk products, processed fruit and fruit juices, processed vegetables and vegetable juices, commercial soups and soup mixes, and medical foods at levels yielding 5 micrograms selenium per serving"," Scientific procedures"," Cypress Systems, Inc."," Cypress Systems, Inc.; 3381 North Bond Avenue, Suite 101, Fresno, CA 93726",09/12/2008," GRN 260 (in PDF)",,,,,,,03/09/2009,," FDA has no questions",,,,,,,,,=T("241"),,,
=T("261")," Oat hull fiber"," Intended for use as an ingredient in bread/pizza crust, cookies/crackers/bars, cereal (hot and cold), baby food cereal, and snacks (fried and baked) at levels ranging from 5 percent to 14 percent by weight; as an ingredient in breaders and batters applied in coating onto meat and poultry at levels ranging from 2 percent by weight of the total food system (breaded or coated meats) to 5 percent by weight of the dry coating system (breader and batter); as an extender in meat products at levels ranging from 3 percent to 5 percent, as an anti-caking agent within powdered or crystallized organic acids and/or oleoresin-containing injectable brines for meat and poultry at levels below 2 percent (w/w) of the dry mixtures and no more than 0.1% of the total formulation."," Scientific procedures"," Grain Millers, Inc."," 315 Madison Street, Eugene, OR 97402",09/22/2008," GRN 261 (in PDF)",,,,,,,02/03/2009,," FDA has no questions",10/14/2016," Additional correspondence",,,,,,,,,,
=T("262")," Sweet lupin protein"," Ingredient in baked goods and baking mixes, dairy product analogs, frozen dairy desserts and mixes, gelatins, puddings, and fillings, jams and jellies, meat products, milk products and soft candy at levels ranging from 1 to 20 per cent"," Scientific procedures"," George Weston Foods Ltd."," 1 Braidwood Street, Enfield, NSW, 2136, AUSTRALIA",10/08/2008," GRN 262 (in PDF)",,,,,,,12/16/2008,," At the notifier's request, FDA ceased to evaluate this notice",,,,,,,,,,,,
=T("263")," Sweet lupin fiber"," Ingredient in baked goods and baking mixes, beverages and beverage bases, breakfast cereals, jams and jellies, processed fruits and fruit juices and soft candy at levels ranging from 1 to 20 per cent"," Scientific procedures"," George Weston Foods Ltd."," 1 Braidwood Street, Enfield, NSW, 2136, AUSTRALIA",10/08/2008," GRN 263 (in PDF)",,,,,,,12/16/2008,," At the notifier's request, FDA ceased to evaluate this notice",,,,,,,,,,,,
=T("264")," Sweet lupin flour"," Ingredient in baked goods and baking mixes and grain products and pastas at a maximum level of 25 per cent"," Scientific procedures"," George Weston Foods Ltd."," 1 Braidwood Street, Enfield, NSW, 2136, AUSTRALIA",10/08/2008," GRN 264 (in PDF)",,,,,,,12/16/2008,," At the notifier's request, FDA ceased to evaluate this notice",,,,,,,,,,,,
=T("265")," Glycerophospholipid cholesterol acyltransferase (GCAT) enzyme preparation from <i>Bacillus licheniformis</i> expressing a modified GCAT gene from <i>Aeromonas salmonicida</i> subsp. <i>salmonicida</i>"," As an enzyme to modify phospholipids to lyso-phospholipids and cholesterol ester in egg yolks to avoid product separation during mayonnaise production; processed meat products for emulsification, better consistency, and reduced cooking loss; cheese for increased yield; eggs to give a softer and more tender crumb in bakery products, and degumming of vegetable oils <br /><br />As an enzyme in the production of ultra-high temperature processed milk, powdered milk, and yogurt at concentrations ranging from 0.38 to 1.5 milligrams total organic solids per kilogram of food"," Scientific procedures"," Genencor, a Danisco Division"," Genencor, a Danisco Division<br />925 Page Mill Road<br />Palo Alto, CA 94304",11/07/2008," GRN 265 (in PDF)",,,,,,,06/13/2009,," FDA has no questions",07/15/2010," Additional correspondence about intended use",,,,,,,,,,
=T("266")," Polyglycerol polyricinoleate"," As an emulsifier in chocolate-type products based on vegetable fats other than cocoa butter, at levels up to 0.3 percent and in accordance with good manufacturing practices"," Scientific procedures"," Palsgaard A/S"," Palsgaardvej 10<br />7130 Juelsminde<br />DENMARK",11/14/2008," GRN 266 (in PDF)",,,,,,,05/29/2009,," FDA has no questions",,,,,,,,,,,,
=T("267")," Protein glutaminase enzyme preparation derived from <i>Chryseobacterium proteolyticum</i>"," As an enzyme to deamidate vegetable proteins (cereal, soy, and pea), milk proteins, and yeast proteins; and, to deamidate proteins in baked goods, dairy foods such as yogurt, cheese, and ice-cream, egg-based foods such as mayonnaise, and cakes"," Scientific procedures"," Amano Enzyme, Inc."," 2-7, 1-Chome, Nishiki, Naka-ku, Nagoya 460-8630, JAPAN",11/14/2008," GRN 267 (in PDF)",,,,,,,07/15/2009,," FDA has no questions",,,,,,,,,,,,
=T("268")," <i>Bifidobacterium longum</i> strain BB536"," Ingredient in breads/baked goods, cereals, dairy products/dairy-based foods and dairy substitutes, fruit products, candy, chewing gum, cocoa powder, condiment sauces, flavored beverage syrups, fruit flavored powder beverage mixes, gelatin desserts, gravies, margarine, peanut and other nut butter/spreads, snack foods, weaning foods at a maximum level of 1x10<sup><small>10</small></sup> colony forming units (cfu) per serving and in milk based powdered infant formula at a level of 1x10<sup><small>10</small></sup> cfu per gram of infant formula powder that is intended for consumption for term infants aged 9 months and older"," Scientific procedures"," Morinaga Milk Industry Co., Ltd"," 33-1, Shiba 5-Chome, Minato-ku, Tokyo 108-8384, JAPAN",11/21/2008," GRN 268 (in PDF)",,,,,,,07/08/2009,," FDA has no questions",,,,,,,,,,,,
=T("269")," Polyglycerol fatty acid esters with a degree of polymerization of 11 to 40 for the polyglycerol backbone"," As emulsifiers at levels ranging from 0.05 - 0.5 per cent in conventional food and zinc- or iron-providing dietary supplements, and as cloud inhibitors at levels ranging from 0.05 - 0.5 per cent in vegetable oils and salad oils"," Scientific procedures"," Taiyo-Kagaku Co., Ltd."," 800 Yamada-Cho, Yokkaichi, Mie 512-1111, JAPAN",11/25/2008," GRN 269 (in PDF)",,,,,,,05/21/2009,," FDA has no questions",,,,,,,,,,,,
=T("270")," Polyglycerol polyricinoleic acid"," As an emulsifier in the formulation of color additives, intended for use in processed foods for which colors are permitted, with limitation based on good manufacturing practices"," Scientific procedures"," Stepan Company"," 22 West Frontage Road, Northfield, IL 60093",12/03/2008," GRN 270 (in PDF)",,,,,,,06/15/2009,," FDA has no questions",,,,,,,,,,,,
=T("271")," Ferrous ammonium phosphate"," Use in various food categories as a source of dietary iron for food enrichment and fortification purposes consistent with iron supplementation guidelines"," Scientific procedures"," Nestle USA, Inc."," 800 North Brand Boulevard, Glendale, CA 91203-1244",12/12/2008," GRN 271 (in PDF)",,,,,,,05/29/2009,," FDA has no questions",,,,,,,,,,,,
=T("272")," Triple salt of magnesium, ammonium, and potassium chloride, hexahydrate"," As a substitute for a portion of the sodium chloride used in food in general, including meat, poultry, and egg products, but excluding infant formula"," Scientific procedures"," Smart Salt, Inc."," 1261 Prospect Street, Suite 9<br />La Jolla, CA 92037",12/18/2008," GRN 272 (in PDF)",,,,,,,06/24/2009,," FDA has no questions",,,,,,,,,,,,
=T("273")," Baobab (<i>Adansonia digitata</i>) dried fruit pulp"," Intended for use as an ingredient in blended fruit drinks and fruit cereal bars at levels up to 10 percent and 15 percent, respectively, and in grain based products, vegetable/fruit juices, milk products, beverages, and sugar candies at levels ranging from 0.5 up to 3.8 percent."," Scientific procedures"," Cyril Lombard/PhytoTrade Africa"," 5 Calvert Avenue <br />London E2 7JP <br />UNITED KINGDOM <br />[Updated in letter dated October 10, 2012]",12/19/2008," GRN 273 (in PDF)",,,,,,,07/25/2009,," FDA has no questions",09/05/2013," Additional correspondence about intended use",,,,,,,,,,
=T("274")," Branching glycosyltransferase enzyme preparation from <i>Bacillus subtilis</i> expressing a branching glycosyltransferase gene from <i>Rhodothermus obamensis</i>"," As an enzyme in the starch industry to obtain dextrins with improved physical properties, such as higher solubility, lower viscosity, and reduced retrogradation"," Scientific procedures"," Novozymes North America, Inc."," 77 Perry Chapel Church Rd. <br />Box 576 <br />Franklinton, NC &nbsp;27525",12/30/2008," GRN 274 (in PDF)",,,,,,,06/25/2009,," FDA has no questions",,,,,,,,,,,,
=T("275")," Purified steviol glycosides with rebaudioside A as the principal component"," As a tabletop sweetener"," Scientific procedures"," McNeil Nutritionals, LLC"," 601 Office Center Drive<br />Fort Washington, PA<br />19034",01/02/2009," GRN 275 (in PDF)",,,,,,,06/11/2009,," FDA has no questions",,,,,,,,,,,,
=T("276")," <i>Dunaliella bardawil</i> alga"," Ingredient in the following foods: dairy products, cakes, mayonnaise and salad oils, pudding and custards, crackers and cookies, wheat noodles, bread/rolls, tofu, Kimchi and fermented soybean products"," Scientific procedures"," Nikken Sohonsha Corporation"," 1-32 Asahira, Fukuju-cho, Gifu-Pref 501-6255 Hashima-city, JAPAN",01/02/2009," GRN 276 (in PDF)",,,,,,,03/06/2009,," At the notifier's request, FDA ceased to evaluate this notice",,,,,,,,,,=T("351"),,
=T("277")," Maltotetraohydrolase enzyme preparation from <i>Bacillus licheniformis</i> expressing a modified maltotetraohydrolase gene from <i>Pseudomonas stutzeri</i>"," As an enzyme in bread and other baked goods to delay the staling process"," Scientific procedures"," Genencor, a Danisco Division"," 925 Page Mill Road, Palo Alto, CA 94304",01/13/2009," GRN 277 (in PDF)",,,,,,,05/15/2009,," FDA has no questions",,,,,,,,,,,,
=T("278")," Rebaudioside A purified from the leaves of <i>Stevia rebaudiana</i> (Bertoni) Bertoni"," As a sweetener in baked products, beverages (non-alcoholic), breakfast cereals, coffee and tea, confections and frostings, dairy product analogs, fats and oils, frozen dairy desserts, fruit and water ices, milk (whole and skim), milk products, processed fruits and fruit juices, processed vegetables and vegetable juices, snack foods, soft candy, sugar substitutes, sweet sauces, toppings and syrups, meal replacement food products, and medical foods at levels determined by good manufacturing practices, as well as use as a table top sweetener"," Scientific procedures"," Blue California"," 30111 Tomas, Rancho Santa Margarita, CA 92688",01/22/2009," GRN 278 (in PDF)",,,,,,,07/20/2009,," FDA has no questions",,,,,,,,,,,,
=T("279")," Phosphatidylserine derived from fish"," Ingredient in breakfast cereals, dairy product analogs, grain products and pastas, milk products, and processed fruits and fruit juices at levels intended to provide 30 milligrams (mg) of phosphatidylserine per serving; and, as an ingredient of medical foods at levels that would not exceed 300 mg of phosphatidylserine per day"," Scientific procedures"," Enzymotec Ltd."," P.O. Box 6, Migdal HaEmeq, ISRAEL 23106",01/30/2009," GRN 279 (in PDF)",,,,,,,07/25/2009,," FDA has no questions",,,,,,,,,,,,
=T("280")," Whole and milled flaxseed"," Ingredients in foods, excluding meat and poultry products, limited only by current good manufacturing practices"," Scientific procedures"," Flax Canada 2015"," 465-167 Lombard Avenue<br />Winnipeg, Manitoba R3B 0T6<br />CANADA",02/04/2009," GRN 280 (in PDF)",,,,,,,08/24/2009,," FDA has no questions",,,,,,,,,,,,
=T("281")," <i>Lactobacillus rhamnosus</i> strain HN001 produced in a milk-based medium"," Ingredient in milk-based powdered term infant formula that is intended for consumption from the time of birth, as well as in milk-based powdered follow-on formula, at a level of 10<sup><small>8</small></sup> colony forming units per gram of the formula powder"," Scientific procedures"," Fonterra Co-operative Group"," Private Bag 92032 Auckland 1142<br />Fonterra Centre 9 Princes St. Auckland 1010<br />NEW ZEALAND",02/04/2009," GRN 281 (in PDF)",,,,,,,08/31/2009,," FDA has no questions",,,,,,,,,,,,
=T("282")," Rebaudioside A purified from the leaves of <i>Stevia rebaudiana</i> (Bertoni) Bertoni"," As a general-purpose sweetener in foods, excluding meat and poultry products, provided that food standards of identity do not preclude such use, at levels determined by current good manufacturing practices"," Scientific procedures"," Sweet Green Fields, LLC"," 4164 Meridian Street, Suite 304<br /> Bellingham, WA  98226",02/18/2009," GRN 282 (in PDF)",,,,,,,08/11/2009,," FDA has no questions",,,,,,,,,,,,
=T("283")," Stearidonic acid soybean oil"," Ingredient in baked goods and baking mixes, breakfast cereals and grains, cheeses, dairy product analogs, fats and oils, fish products, frozen dairy desserts and mixes, grain products and pastas, gravies and sauces, meat products, milk products, nuts and nut products, poultry products, processed fruit juices, processed vegetable products, puddings and fillings, snack foods, soft candy, and soups and soup mixes, at levels that will provide 375 milligrams of stearidonic acid soybean oil per serving."," Scientific procedures"," Monsanto Company"," 800 North Lindbergh Blvd.<br />St. Louis, MO &nbsp;63167",03/03/2009," GRN 283 (in PDF)",,,,,,,09/04/2009,," FDA has no questions",,,,,,,,,,,,
=T("284")," Bakers yeast mannoprotein"," As a stabilizing agent in wines, at levels ranging from 50 to 400 milligrams per liter, to prevent tartaric acid precipitation"," Scientific procedures"," DSM Food Specialties"," Alexander Fleminglaan 1<br />2613 AX Delft<br />The NETHERLANDS",03/12/2009," GRN 284 (in PDF)",,,,,,,08/28/2009,," FDA has no questions",,,,,,,,,,,,
=T("285")," Galacto-oligosaccharides"," Ingredient in certain baby, infant, and toddler foods  at levels ranging from 0.86 to 1.28 grams (g) per serving; and, in certain beverages and beverage bases, dairy product analogs, milk products, bakery products, cereal and other grain products, desserts, dessert toppings and fillings, fruit and fruit juices, snacks, soups, and soft and hard candy at a level of 1.28 g/serving"," Scientific procedures"," GTC Nutrition"," 523 Park Point Drive, Suite 300 <br />Golden, CO 80401",03/12/2009," GRN 285 (in PDF)",,,,,,,09/04/2009,," FDA has no questions",01/06/2015," Additional correspondence received regarding manufacturing and specification changes",04/15/2011," Additional correspondence received regarding manufacturing and specification changes",,,,,,,,
=T("286")," Galacto-oligosaccharides"," Ingredient in term infant formula and follow-on formula at a level of 7.2 grams of galacto-oligosaccharides per liter"," Scientific procedures"," GTC Nutrition"," 523 Park Point Drive, Suite 300 <br />Golden, CO 80401",03/12/2009," GRN 286 (in PDF)",,,,,,,09/04/2009,," FDA has no questions",01/06/2015," Additional correspondence regarding manufacturing and specification changes",04/15/2011," Additional correspondence regarding manufacturing and specification changes",,,,,,,,
=T("287")," Purified steviol glycosides with rebaudioside A and stevioside as the principal components"," General-purpose sweetener in foods, excluding meat and poultry products and infant  formulas, at levels determined by current good manufacturing practice"," Scientific procedures"," Wisdom Natural Brands"," 1203 W. San Pedro Street<br />Gilbert, AZ 85233",03/17/2009," GRN 287 (in PDF)",,,,,,,08/28/2009,," FDA has no questions",,,,,,,,,,,,
