Downloaded from FDA Inventory of Food Contact Substances Listed in 21 CFR; http://www.hfpappexternal.fda.gov/scripts/fdcc/?set=IndirectAdditives; Last updated 5/4/2026; downloaded 8/2/2026.

"Consult the regulation(s) cited to see if your substance is authorized for your intended use."

CAS Registry No. (or other ID),Substance,Reg col01,Reg col02,Reg col03,Reg col04,Reg col05,Reg col06,Reg01,Reg02,reg03,reg04,reg05,reg06,reg07,reg08,reg09,reg10,reg11,reg12,reg13,reg14,reg15,reg16,reg17,reg18,reg19,reg20,reg21,Reg prohibited189,regs Labeling-Standards,Other Names,SYN01,SYN02,SYN03,SYN04,SYN05,SYN06,SYN07,SYN08,SYN09,SYN10,SYN11,SYN12,SYN13,SYN14,SYN15,SYN16,SYN17,SYN18,SYN19
" 107-13-1"," ACRYLONITRILE",,,,,,,=T("175.105"),=T("175.300"),=T("175.320"),=T("175.360"),=T("175.365"),=T("176.180"),=T("177.1010"),=T("177.1020"),=T("177.1030"),=T("177.1040"),=T("177.1050"),=T("177.1200"),=T("177.1480"),=T("177.1630"),=T("177.2260"),=T("177.2910"),=T("178.3790"),=T("180.22"),=T("181.32"),,,,," ACRYLONITRILE"," CYANOETHENE"," CYANOETHYLENE"," PROPENENITRILE"," VINYL CYANIDE"," 2-PROPENENITRILE"," ACRYLONITROGEN",,,,,,,,,,,,,
" 68123-24-0"," ACRYLONITRILE-BUTADIENE-ETHYLENE GLYCOL DIMETHACRYLATE COPOLYMER",,,,,,,=T("177.2600"),,,,,,,,,,,,,,,,,,,,,,," POLY(ACRYLONITRILE-CO-BUTADIENE-CO-ETHYLENE GLYCOL DIMETHACRYLATE)"," BUTADIENE-ACRYLONITRILE-ETHYLENE GLYCOL DIMETHACRYLATE COPOLYMER"," POLY(1,3-BUTADIENE-CO-1,2-ETHANEDIYL 2-METHYL-2-PROPENOATE-CO-2-PROPENENITRILE)"," 2-PROPENOIC ACID, 2-METHYL-, 1,2-ETHANEDIYL ESTER, POLYMER WITH 1,3-BUTADIENE AND 2-PROPENENITRILE",,,,,,,,,,,,,,,,
" 977146-28-3"," ACRYLONITRILE COPOLYMER",,,,,,,=T("175.105"),=T("175.300"),=T("178.3790"),=T("179.45"),=T("180.22"),,,,,,,,,,,,,,,,,,," ACRYLONITRILE COPOLYMER (CLASS)"," ACRYLONITRILE COPOLYMERS"," POLY(ACRYLONITRILE) COPOLYMER",,,,,,,,,,,,,,,,,
" 25052-74-8"," ACRYLONITRILE-ETHYL ACRYLATE-METHACRYLIC ACID COPOLYMER",,,,,,,=T("175.105"),=T("176.170"),,,,,,,,,,,,,,,,,,,,,," POLY(ACRYLONITRILE-CO-ETHYL ACRYLATE-CO-METHACRYLIC ACID)"," ACRYLONITRILE-ETHYL ACRYLATE-METHACRYLIC ACID COPOLYMER"," ACRYLIC ACID ETHYL ESTER, POLYMER WITH ACRYLONITRILE AND METHACRYLIC ACID"," POLY(ETHYL 2-PROPENOATE-CO-2-METHYL-2-PROPENOIC ACID-CO-2-PROPENENITRILE)"," 2-PROPENOIC ACID, 2-METHYL-, POLYMER WITH ETHYL 2-PROPENOATE AND 2-PROPENENITRILE",,,,,,,,,,,,,,,
" 977103-50-6"," ACRYLONITRILE-STYRENE-CO-ETHYLENEDIAMINE ACETATE POLYMER",,,,,,,=T("176.170"),,,,,,,,,,,,,,,,,,,,,,," POLY(ACRYLONITRILE-CO-ETHYLENEDIAMINE ACETATE-CO-STYRENE)"," ACRYLONITRILE-STYRENE-ETHYLENEDIAMINE ACETATE COPOLYMER",,,,,,,,,,,,,,,,,,
" 64365-11-3"," ACTIVATED CARBON",,,,,,,=T("177.1210"),,,,,,,,,,,,,,,,,,,,,,," CHARCOAL, ACTIVATED"," ACTIVATED CHARCOAL"," ACTIVATED CARBON"," CARBON, ACTIVATED"," ACTIVE CARBON",,,,,,,,,,,,,,,
" 977037-69-6"," ACYL SARCOSINE, N-SUBSTITUTED DERIVATIVE",,,,,,,=T("177.1200"),=T("178.3130"),,,,,,,,,,,,,,,,,,,,,," N-ACYLSARCOSINE"," N-METHYLGLYCINE, N-ACYL DERIVATIVE",,,,,,,,,,,,,,,,,,
" 124-04-9"," ADIPIC ACID",,,,,,,=T("175.300"),=T("175.320"),=T("176.170"),=T("176.180"),=T("177.1200"),=T("177.1390"),=T("177.1500"),=T("177.1630"),=T("177.1680"),=T("177.2420"),=T("177.2600"),=T("184.1009"),,,,,,,,,,,," ADIPIC ACID"," HEXANEDIOIC ACID"," 1,4-BUTANEDICARBOXYLIC ACID",,,,,,,,,,,,,,,,,
" 977183-74-6"," ALCOHOL AND KETONE ALCOHOLS MIXTURE (STILL-BOTTOM PRODUCT FROM C12-C18 ALCOHOL MANUFACTURING PROCESS)",,,,,,,=T("176.210"),,,,,,,,,,,,,,,,,,,,,,," ALCOHOL/KETONE ALCOHOL MIXTURE, STILL-BOTTOM PRODUCT FROM C12-18 ALCOHOL MANUFACTURING PROCESS"," KETONE ALCOHOL/ALCOHOL MIXTURE, STILL-BOTTOM PRODUCT FROM C12-18 ALCOHOL MANUFACTURING PROCESS",,,,,,,,,,,,,,,,,,
" 71750-71-5"," ALCOHOLS, C>14",,,,,,,=T("175.105"),,,,,,,,,,,,,,,,,,,,,,," ALCOHOLS, C>14"," SYNTHETIC PRIMARY LINEAR ALIPHATIC ALCOHOL, MW GREATER THAN 400"," ALCOHOL(C LENGTH GREATER THAN 14)"," ALCOHOL(C14+)"," C14+ ALCOHOL"," ALCOHOLS C>14"," C>14 ALCOHOLS"," FATTY ALCOHOL(C14+)",,,,,,,,,,,,
